x,z
0.000000,-6900.000000
-0.001763,-6899.000002
-0.007052,-6898.000017
-0.015866,-6897.000056
-0.028207,-6896.000133
-0.044072,-6895.000259
-0.063464,-6894.000448
-0.086380,-6893.000711
-0.112821,-6892.001061
-0.142787,-6891.001510
-0.176276,-6890.002072
-0.213290,-6889.002758
-0.253826,-6888.003580
-0.297886,-6887.004552
-0.345467,-6886.005685
-0.396570,-6885.006992
-0.451194,-6884.008485
-0.509339,-6883.010178
-0.571002,-6882.012081
-0.636185,-6881.014209
-0.704886,-6880.016572
-0.777104,-6879.019183
-0.852838,-6878.022056
-0.932087,-6877.025202
-1.014850,-6876.028633
-1.101127,-6875.032362
-1.190916,-6874.036402
-1.284217,-6873.040764
-1.381027,-6872.045462
-1.481345,-6871.050507
-1.585172,-6870.055912
-1.692504,-6869.061690
-1.803341,-6868.067852
-1.917682,-6867.074410
-2.035525,-6866.081379
-2.156868,-6865.088769
-2.281711,-6864.096593
-2.410051,-6863.104863
-2.541886,-6862.113592
-2.677217,-6861.122792
-2.816039,-6860.132475
-2.958353,-6859.142654
-3.104156,-6858.153341
-3.253446,-6857.164548
-3.406221,-6856.176288
-3.562480,-6855.188572
-3.722221,-6854.201413
-3.885441,-6853.214824
-4.052139,-6852.228817
-4.222312,-6851.243403
-4.395959,-6850.258596
-4.573077,-6849.274407
-4.753664,-6848.290848
-4.937718,-6847.307932
-5.125236,-6846.325672
-5.316217,-6845.344079
-5.510657,-6844.363165
-5.708555,-6843.382943
-5.909907,-6842.403424
-6.114712,-6841.424622
-6.322967,-6840.446548
-6.534669,-6839.469214
-6.749816,-6838.492633
-6.968405,-6837.516816
-7.190433,-6836.541777
-7.415897,-6835.567526
-7.644795,-6834.594076
-7.877124,-6833.621439
-8.112881,-6832.649628
-8.352063,-6831.678654
-8.594667,-6830.708529
-8.840690,-6829.739265
-9.090130,-6828.770875
-9.342982,-6827.803371
-9.599243,-6826.836764
-9.858911,-6825.871067
-10.121983,-6824.906291
-10.388455,-6823.942449
-10.658323,-6822.979552
-10.931585,-6822.017613
-11.208237,-6821.056643
-11.488275,-6820.096655
-11.771696,-6819.137660
-12.058497,-6818.179670
-12.348674,-6817.222698
-12.642223,-6816.266754
-12.939141,-6815.311852
-13.239424,-6814.358002
-13.543068,-6813.405217
-13.850070,-6812.453509
-14.160426,-6811.502889
-14.474131,-6810.553369
-14.791182,-6809.604961
-15.111576,-6808.657677
-15.435307,-6807.711529
-15.762372,-6806.766527
-16.092767,-6805.822685
-16.426488,-6804.880014
-16.763531,-6803.938525
-17.103891,-6802.998231
-17.447565,-6802.059142
-17.794547,-6801.121271
-18.144835,-6800.184629
-18.498422,-6799.249228
-18.855305,-6798.315080
-19.215480,-6797.382195
-19.578942,-6796.450587
-19.945686,-6795.520266
-20.315708,-6794.591243
-20.689004,-6793.663531
-21.065568,-6792.737141
-21.445397,-6791.812085
-21.828484,-6790.888374
-22.214826,-6789.966018
-22.604418,-6789.045031
-22.997254,-6788.125424
-23.393331,-6787.207207
-23.792643,-6786.290392
-24.195185,-6785.374991
-24.600951,-6784.461015
-25.009938,-6783.548475
-25.422140,-6782.637383
-25.837552,-6781.727750
-26.256168,-6780.819588
-26.677984,-6779.912907
-27.102994,-6779.007719
-27.531193,-6778.104035
-27.962576,-6777.201867
-28.397137,-6776.301225
-28.834871,-6775.402121
-29.275772,-6774.504566
-29.719835,-6773.608571
-30.167055,-6772.714147
-30.617425,-6771.821306
-31.070941,-6770.930058
-31.527596,-6770.040415
-31.987385,-6769.152387
-32.450303,-6768.265987
-32.916342,-6767.381223
-33.385499,-6766.498109
